Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5019-1,2013-02-13,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,office supplies,Small Box,Regular Air,2013-02-15,3.75,7.08,3.33,33.0,725.82,8.0,58.07,667.75,2.35,694.05
5019-1,2013-02-13,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,office supplies,Wrap Bag,Regular Air,2013-02-15,75.0,120.97,45.97,27.0,725.82,8.0,58.07,657.75,26.3,694.05
5020-1,2015-05-11,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",office supplies,Small Box,Express Air,2015-05-13,0.9,2.1,1.2,49.0,35.7,5.0,1.07,34.63,0.7,35.33
5021-1,2015-05-18,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,technology,Medium Box,Regular Air,2015-05-25,10.07,15.98,5.91,24.0,139.2,1.0,5.35,132.97,4.0,139.46
5021-1,2014-06-23,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,office supplies,Wrap Bag,Express Air,2014-06-23,1.59,2.61,1.02,22.0,23.6,7.0,1.51,23.63,0.5,23.46
5021-1,2013-10-20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,office supplies,Small Pack,Regular Air,2013-10-20,0.94,1.88,0.94,24.0,25.8,6.0,0.16,23.63,0.79,26.46
5022-1,2013-02-22,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,office supplies,Wrap Bag,Regular Air,2013-02-23,156.5,300.97,144.47,49.0,723.84,7.0,50.67,673.17,7.18,693.16
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,furniture,Small Pack,Regular Air,2013-02-22,1.09,2.6,1.51,8.0,122.2,0.0,12.22,109.98,2.4,112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,furniture,Large Box,Regular Air,2013-02-22,1.09,2.6,1.51,21.0,122.2,5.0,12.22,109.98,2.4,112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,technology,Small Box,Regular Air,2013-02-22,1.09,2.6,1.51,37.0,122.2,10.0,12.22,109.98,2.4,112.38
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,office supplies,Small Box,Express Air,2013-02-22,8.82,20.99,12.17,24.0,122.2,7.0,12.22,109.98,4.81,112.38
5023-1,2014-06-04,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,office supplies,Wrap Bag,Regular Air,2014-06-05,8.82,20.99,12.17,29.0,122.2,7.0,12.22,109.98,4.81,112.38
5024-1,2015-05-22,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",office supplies,Small Box,Express Air,2015-05-24,4.53,7.3,2.77,14.0,285.14,2.0,2.95,265.55,7.72,274.97
5024-1,2014-10-13,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,office supplies,Small Box,Regular Air,2014-10-15,3.4,5.4,2.0,42.0,146.6,1.0,14.58,134.01,7.78,143.72
5024-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,office supplies,Wrap Bag,Express Air,2014-09-04,4.79,11.97,7.18,41.0,242.08,5.0,14.24,230.51,5.81,233.95
5024-1,2014-02-25,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",office supplies,Small Box,Regular Air,2014-02-26,21.56,36.55,14.99,22.0,85.28,10.0,6.82,78.46,13.89,79.44
5024-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,technology,Medium Box,Regular Air,2015-02-21,2.45,3.89,1.44,8.0,66.36,9.0,3.96,62.38,7.01,69.36
5025-1,2015-06-08,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,office supplies,Small Box,Regular Air,2015-06-09,1.09,1.68,0.59,1.0,55.44,0.0,2.22,53.22,1.0,54.22
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,office supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,34.0,55.44,10.0,2.22,53.22,1.0,54.22
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,office supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,18.0,55.44,8.0,2.22,53.22,1.0,54.22
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,office supplies,Wrap Bag,Regular Air,2013-02-22,1.09,1.68,0.59,29.0,55.44,3.0,2.22,53.22,1.0,54.22
5025-1,2013-02-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,office supplies,Small Box,Express Air,2013-02-22,1.09,1.68,0.59,39.0,55.44,7.0,2.22,53.22,1.0,54.22
5025-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,office supplies,Wrap Bag,Regular Air,2013-08-17,8.82,20.99,12.17,16.0,49.36,2.0,3.96,48.66,4.81,44.56
5025-1,2013-10-03,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",office supplies,Small Box,Regular Air,2013-10-04,4.59,7.28,2.69,19.0,533.72,4.0,36.53,428.51,11.15,330.99
5025-1,2014-07-30,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,technology,Small Box,Regular Air,2014-08-01,1.18,1.88,0.7,39.0,35.7,9.0,3.51,34.53,1.49,35.33
5026-1,2013-05-21,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,technology,Small Pack,Regular Air,2013-05-23,0.93,1.48,0.55,16.0,25.06,0.0,2.56,22.6,0.7,24.29
5026-1,2013-05-31,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,office supplies,Wrap Bag,Express Air,2013-06-02,1.59,2.61,1.02,41.0,23.29,5.0,1.61,22.29,0.5,22.69
5027-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,technology,Small Box,Regular Air,2013-07-30,2.45,3.89,1.44,29.0,542.12,4.0,41.26,425.7,7.01,430.59
5027-1,2014-01-13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,office supplies,Small Box,Regular Air,2014-01-18,1.59,2.61,1.02,45.0,127.29,6.0,12.72,122.76,0.5,123.17
5027-1,2013-10-25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,technology,Large Box,Regular Air,2013-10-27,5.19,12.98,7.79,10.0,530.6,1.0,43.56,514.48,3.14,523.02
5027-1,2013-10-13,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,office supplies,Wrap Bag,Regular Air,2013-10-13,75.0,120.97,45.97,31.0,929.96,6.0,76.8,825.36,26.3,744.63
5027-1,2016-01-19,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,office supplies,Small Pack,Regular Air,2016-01-19,10.07,15.98,5.91,4.0,799.42,2.0,59.92,770.46,4.0,784.64
5027-1,2013-02-22,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",office supplies,Small Box,Regular Air,2013-02-28,21.56,35.94,14.38,11.0,723.84,1.0,50.67,673.17,6.66,693.16
5028-1,2015-06-19,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,technology,Small Box,Regular Air,2015-06-21,2.98,5.84,2.86,7.0,34.46,1.0,2.24,30.66,0.83,34.43
5028-1,2013-10-09,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,furniture,Large Box,Regular Air,2013-10-11,1.84,2.88,1.04,17.0,26.62,0.0,0.17,26.53,0.99,26.46
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,office supplies,Small Pack,Regular Air,2013-02-23,5.33,8.6,3.27,22.0,412.8,7.0,0.0,412.8,6.19,418.99
5029-1,2014-06-02,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,technology,Medium Box,Regular Air,2014-06-04,1.59,2.61,1.02,7.0,209.9,3.0,0.0,209.9,0.5,214.77
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,technology,Jumbo Drum,Delivery Truck,2013-02-23,5.33,8.6,3.27,13.0,412.8,4.0,0.0,412.8,6.19,418.99
5029-1,2013-05-20,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,office supplies,Small Box,Regular Air,2013-05-22,5.33,8.6,3.27,19.0,412.8,10.0,0.0,412.8,6.19,418.99
5032-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",office supplies,Small Box,Regular Air,2013-11-20,16.85,27.18,10.33,32.0,632.36,6.0,68.76,663.38,8.23,690.33
5032-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,office supplies,Small Box,Regular Air,2013-12-19,1.84,2.88,1.04,22.0,127.92,1.0,10.16,122.66,0.99,123.06
5033-1,2013-02-25,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,office supplies,Small Box,Regular Air,2013-02-27,54.29,90.48,36.19,42.0,271.44,5.0,8.14,263.3,19.99,283.29
5034-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,office supplies,Small Box,Regular Air,2013-06-05,1.84,2.88,1.04,32.0,201.9,5.0,8.0,193.54,0.99,199.04
5034-1,2014-09-23,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,technology,Small Box,Regular Air,2014-09-25,1.84,2.88,1.04,45.0,68.96,8.0,0.6,68.96,0.99,73.46
5034-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,office supplies,Small Box,Regular Air,2013-05-11,3.32,5.18,1.86,37.0,91.06,1.0,7.3,88.96,2.04,80.44
5034-1,2013-05-13,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,office supplies,Small Box,Regular Air,2013-05-15,3.32,5.18,1.86,35.0,76.0,3.0,6.8,59.66,2.04,70.46
5034-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,office supplies,Wrap Bag,Regular Air,2013-02-22,5.19,12.98,7.79,16.0,225.32,10.0,2.24,221.2,3.14,233.76
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,office supplies,Small Box,Express Air,2013-03-10,0.71,1.14,0.43,14.0,57.0,2.0,3.42,53.58,0.7,54.28
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,furniture,Large Box,Express Air,2013-03-10,0.71,1.14,0.43,14.0,57.0,0.0,3.42,53.58,0.7,54.28
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,furniture,Small Pack,Regular Air,2013-03-13,3.42,8.34,4.92,32.0,133.44,8.0,4.0,129.44,2.64,132.08
5037-1,2013-06-29,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,office supplies,Small Box,Regular Air,2013-07-01,3.42,8.34,4.92,11.0,133.44,7.0,4.0,129.44,2.64,132.08
5037-1,2013-07-04,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,office supplies,Wrap Bag,Regular Air,2013-07-05,4.79,11.97,7.18,10.0,245.7,10.0,27.26,222.1,5.81,243.29
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,office supplies,Wrap Bag,Express Air,2013-03-13,2.5,5.68,3.18,50.0,133.44,9.0,4.0,129.44,3.6,132.08
5038-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,technology,Small Box,Regular Air,2013-03-20,3.52,5.68,2.16,34.0,139.24,2.0,9.68,128.54,1.39,129.4
5039-1,2013-03-15,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",office supplies,Wrap Bag,Express Air,2013-03-16,4.59,7.28,2.69,37.0,160.16,4.0,1.6,158.56,11.15,169.71
5039-1,2013-05-31,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,office supplies,Small Box,Regular Air,2013-05-31,1.84,2.88,1.04,42.0,130.66,0.0,10.56,121.02,0.99,122.85
5039-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",furniture,Large Box,Regular Air,2014-08-09,4.59,7.28,2.69,44.0,186.52,8.0,1.68,168.06,11.15,169.71
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",technology,Large Box,Regular Air,2013-03-20,1.3,2.88,1.58,46.0,138.24,7.0,9.68,128.56,1.01,129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",technology,Small Box,Express Air,2013-03-20,1.3,2.88,1.58,8.0,138.24,5.0,9.68,128.56,1.01,129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",office supplies,Small Box,Regular Air,2013-03-20,1.3,2.88,1.58,22.0,138.24,2.0,9.68,128.56,1.01,129.57
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",technology,Small Pack,Express Air,2013-03-20,1.3,2.88,1.58,32.0,138.24,8.0,9.68,128.56,1.01,129.57
5041-1,2015-10-20,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,office supplies,Small Box,Regular Air,2015-10-24,2.98,5.84,2.86,48.0,7.2,8.0,0.63,7.64,0.83,10.71
5042-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,office supplies,Small Pack,Express Air,2013-05-02,5.19,12.98,7.79,49.0,623.22,4.0,56.09,567.13,3.14,571.13
5042-1,2013-06-25,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,office supplies,Small Box,Regular Air,2013-05-26,3.32,5.18,1.86,30.0,130.42,9.0,3.01,128.43,2.04,129.03
5042-1,2013-03-23,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,office supplies,Small Box,Regular Air,2013-03-26,0.87,1.81,0.94,30.0,61.1,3.0,2.34,58.66,0.75,61.51
5043-1,2015-04-18,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,furniture,Small Pack,Express Air,2015-04-19,2.29,3.69,1.4,7.0,144.5,1.0,14.87,147.65,0.5,158.36
5046-1,2015-01-11,Katherine Nockton,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",office supplies,Small Box,Regular Air,2015-01-12,3.88,6.47,2.59,34.0,113.68,3.0,7.95,110.05,1.22,119.55
5047-1,2015-04-19,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,technology,Small Pack,Regular Air,2015-04-19,2.26,3.58,1.32,11.0,131.14,2.0,6.33,112.43,5.47,119.43
5047-1,2015-05-01,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Premier Heavy-Duty Binder with Round Locking Rings,office supplies,Small Box,Regular Air,2015-05-02,8.71,14.28,5.57,32.0,335.35,10.0,33.53,303.24,2.99,321.03
5047-1,2015-03-16,Candos Bawlak,"6 Mary St,Newtown",Sydney,NSW,Home Office,Samantha Chairs,Critical,Artisan 487 Labels,office supplies,Small Pack,Regular Air,2015-03-16,2.29,3.69,1.4,50.0,215.76,8.0,12.78,113.07,0.5,129.55
5047-1,2014-10-04,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Small Business,Tina Carlton,Critical,"Artisan Flip-Chart Easel Binder, Black",office supplies,Small Box,Regular Air,2014-10-06,13.88,22.38,8.5,6.0,471.0,3.0,0.0,470.84,15.1,485.3
5048-1,2013-05-26,Denny Ordway,"531 King St,Newtown",Sydney,NSW,Home Office,Mihael Khan,Not Specified,Smiths Standard Envelopes,technology,Large Box,Regular Air,2013-05-26,3.52,5.68,2.16,29.0,136.32,0.0,9.05,128.14,1.39,129.53
5048-1,2014-09-22,Magdelene Mosse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Low,Smiths General Use 3-Ring Binders,office supplies,Wrap Bag,Regular Air,2014-09-22,1.18,1.88,0.7,34.0,41.0,3.0,3.3,38.94,1.49,40.93
5048-1,2013-06-15,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Smiths Standard Envelopes,office supplies,Wrap Bag,Regular Air,2013-06-17,3.52,5.68,2.16,39.0,138.52,8.0,9.0,128.02,1.39,129.53
5049-1,2015-10-20,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,12 Colored Short Pencils,office supplies,Small Box,Regular Air,2015-10-24,1.09,2.6,1.51,1.0,7.95,0.0,0.63,7.24,2.4,10.15
5049-1,2013-05-29,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Office Shears by Apex,technology,Jumbo Drum,Delivery Truck,2013-05-29,0.94,2.08,1.14,13.0,8.32,4.0,0.17,8.15,2.56,10.71
5050-1,2013-04-19,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,office supplies,Wrap Bag,Express Air,2013-04-20,5.33,8.6,3.27,25.0,309.6,10.0,18.58,291.02,6.19,297.21
5050-1,2013-07-30,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Medium,TechSavi Access Keyboard,office supplies,Small Box,Regular Air,2013-07-31,10.07,15.98,5.91,38.0,859.24,3.0,57.59,817.53,4.0,823.63
5051-1,2013-03-27,Erica Smith,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Alto Memo Cubes,office supplies,Small Box,Express Air,2013-03-27,3.32,5.18,1.86,41.0,147.24,8.0,8.68,126.76,2.04,124.27
5051-1,2014-06-23,Frank Hawley,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Critical,Beekin 105-Key Black Keyboard,office supplies,Small Box,Regular Air,2014-06-23,6.39,19.98,13.59,36.0,123.42,5.0,11.54,120.74,4.0,122.16
5052-1,2014-03-06,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 474 Labels,office supplies,Small Box,Regular Air,2014-03-07,1.84,2.88,1.04,7.0,498.5,4.0,39.85,455.5,0.99,456.12
5055-1,2016-11-16,Jonathan Doherty,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,"Artisan Flip-Chart Easel Binder, Black",office supplies,Small Pack,Regular Air,2016-11-16,13.88,22.38,8.5,30.0,135.34,8.0,0.0,138.44,15.1,142.46
5055-1,2013-09-11,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Smiths Premium Bright 1-Pary Blumk Carr Poncils,technology,Small Box,Regular Air,2013-08-13,1.59,3.28,1.71,1.0,356.12,0.0,0.0,356.12,0.98,362.47
5055-1,2015-05-22,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,High,Smiths SlimLine Pencil Sharpener,office supplies,Small Box,Regular Air,2015-05-24,4.79,11.97,7.18,12.0,365.92,2.0,0.0,356.12,5.81,362.47
